english	russian	example	category
consequently	следовательно	Consequently, hiring has slowed.	LEX-link
in light of	в свете, учитывая	In light of recent findings, the plan was revised.	LEX-link
given that	учитывая, что	Given that resources are limited, prioritization is essential.	LEX-link
work-life balance	баланс работы и жизни	Hybrid schedules have improved work-life balance for most staff.	T-work
burnout	выгорание	Chronic overtime is a clear path to burnout.	T-work
upskill	повышать квалификацию	Employees are encouraged to upskill quarterly.	T-work
workplace flexibility	гибкость на работе	Workplace flexibility has become a core expectation.	T-work
staff retention	удержание персонала	Strong onboarding boosts staff retention.	T-work
compensation package	компенсационный пакет	The compensation package includes stock options.	T-work
take on responsibility	брать на себя ответственность	She is ready to take on more responsibility.	T-work
set boundaries	устанавливать границы	It is healthy to set boundaries with clients.	T-work
meet a deadline	укладываться в срок	The team consistently meets tight deadlines.	T-work
career trajectory	карьерная траектория	This role offers a strong career trajectory.	T-work
lifelong learning	обучение в течение всей жизни	Lifelong learning is essential in a fast-changing economy.	T-edu
critical thinking	критическое мышление	Schools should prioritize critical thinking over rote memorization.	T-edu
tuition fees	плата за обучение	Tuition fees have outpaced inflation for two decades.	T-edu
hands-on experience	практический опыт	Internships provide hands-on experience that classrooms cannot.	T-edu
academic curriculum	учебная программа	The curriculum was overhauled to include digital literacy.	T-edu
broaden one's horizons	расширять кругозор	Studying abroad broadens one's horizons.	T-edu
retain information	удерживать информацию	Active recall helps retain information long-term.	T-edu
peer-to-peer learning	взаимное обучение	Peer-to-peer learning fosters deeper engagement.	T-edu
drop-out rate	отсев	The drop-out rate fell after support services were expanded.	T-edu
extracurricular activity	внеклассная активность	Extracurricular activities build soft skills.	T-edu
screen time	время за экраном	Excessive screen time affects sleep quality.	T-tech
digital divide	цифровое неравенство	The digital divide persists in rural areas.	T-tech
data privacy	конфиденциальность данных	Data privacy concerns are reshaping consumer behaviour.	T-tech
cutting-edge	передовой	The lab uses cutting-edge imaging technology.	T-tech
user-friendly	удобный для пользователя	The new interface is far more user-friendly.	T-tech
obsolete	устаревший	That standard became obsolete years ago.	T-tech
streamline	оптимизировать	The tool streamlines invoice processing.	T-tech
end-user	конечный пользователь	End-user feedback drives the roadmap.	T-tech
cybersecurity threat	угроза кибербезопасности	Phishing remains the top cybersecurity threat.	T-tech
seamless integration	бесшовная интеграция	The plugin offers seamless integration with Outlook.	T-tech
carbon footprint	углеродный след	Cutting flights significantly reduces our carbon footprint.	T-env
renewable energy	возобновляемая энергия	Renewable energy now powers most public buildings.	T-env
sustainable practices	устойчивые практики	The company adopted sustainable packaging practices.	T-env
greenhouse gas emissions	выбросы парниковых газов	The plan aims to halve greenhouse gas emissions by 2030.	T-env
single-use plastics	одноразовый пластик	Single-use plastics have been banned in cafeterias.	T-env
waste reduction	сокращение отходов	Composting is a low-effort waste reduction step.	T-env
environmental impact	экологическое воздействие	The project's environmental impact was assessed thoroughly.	T-env
eco-conscious	экологически сознательный	Eco-conscious consumers drive demand for transparent supply chains.	T-env
mental health	психическое здоровье	Workplaces are taking mental health more seriously.	T-health
preventive care	профилактика	Preventive care saves the system money long-term.	T-health
balanced diet	сбалансированное питание	A balanced diet beats any single supplement.	T-health
physical activity	физическая активность	Even moderate physical activity reduces long-term risks.	T-health
stress management	управление стрессом	Stress management techniques should be taught early.	T-health
accessible healthcare	доступное здравоохранение	Accessible healthcare is a defining Canadian value.	T-health
screen-related fatigue	усталость от экранов	Screen-related fatigue is a real workplace concern.	T-health
holistic approach	комплексный подход	The clinic takes a holistic approach to recovery.	T-health
sense of belonging	чувство принадлежности	Local events foster a sense of belonging.	T-comm
civic engagement	гражданская активность	Civic engagement has risen among younger voters.	T-comm
volunteer work	волонтёрство	Volunteer work strengthens community ties.	T-comm
public transit	общественный транспорт	Reliable public transit reduces dependence on cars.	T-comm
affordable housing	доступное жильё	Affordable housing remains the most pressing local issue.	T-comm
social cohesion	социальная сплочённость	Cultural events contribute to social cohesion.	T-comm
neighbourhood watch	соседский дозор	Neighbourhood watch programs deter petty crime.	T-comm
inclusive community	инклюзивное сообщество	The library aims to be an inclusive community space.	T-comm
